country,country_code,Year,Inflation_Rate,region,country_display
Brazil,BRA,2000,7.04414105947265,Emerging Markets,Brazil
Germany,DEU,2000,1.44026838719741,Developed,Germany
"Egypt, Arab Rep.",EGY,2000,2.68380535348546,Africa,Egypt
Ethiopia,ETH,2000,0.662458109266481,Special Cases,Ethiopia
France,FRA,2000,1.67595988720928,Developed,France
Ghana,GHA,2000,40.240933123914,Africa,Ghana
India,IND,2000,4.0094359104519,Emerging Markets,India
Japan,JPN,2000,-0.676578683595175,Special Cases,Japan
Kenya,KEN,2000,9.98002515350979,Africa,Kenya
"Korea, Rep.",KOR,2000,2.25916580080157,Emerging Markets,South Korea
Nigeria,NGA,2000,6.93329215565161,Africa,Nigeria
Pakistan,PAK,2000,4.36666451291681,Emerging Markets,Pakistan
Turkiye,TUR,2000,54.9153705812683,Emerging Markets,Turkey
United States,USA,2000,3.37685727149929,Developed,USA
South Africa,ZAF,2000,5.33895913599828,Africa,South Africa
Zimbabwe,ZWE,2000,,Special Cases,Zimbabwe
Brazil,BRA,2001,6.84035902487523,Emerging Markets,Brazil
Germany,DEU,2001,1.98385731334471,Developed,Germany
"Egypt, Arab Rep.",EGY,2001,2.26975720475955,Africa,Egypt
Ethiopia,ETH,2001,-8.23784453391136,Special Cases,Ethiopia
France,FRA,2001,1.63478079549599,Developed,France
Ghana,GHA,2001,41.509496287803,Africa,Ghana
India,IND,2001,3.77929312235637,Emerging Markets,India
Japan,JPN,2001,-0.740055504162738,Special Cases,Japan
Kenya,KEN,2001,5.73859814341467,Africa,Kenya
"Korea, Rep.",KOR,2001,4.06657587897792,Emerging Markets,South Korea
Nigeria,NGA,2001,18.8736462093863,Africa,Nigeria
Pakistan,PAK,2001,3.14826144590618,Emerging Markets,Pakistan
Turkiye,TUR,2001,54.4001887619074,Emerging Markets,Turkey
United States,USA,2001,2.82617111885407,Developed,USA
South Africa,ZAF,2001,5.70189483049608,Africa,South Africa
Zimbabwe,ZWE,2001,,Special Cases,Zimbabwe
Brazil,BRA,2002,8.45016437708331,Emerging Markets,Brazil
Germany,DEU,2002,1.42080615551526,Developed,Germany
"Egypt, Arab Rep.",EGY,2002,2.73723855000334,Africa,Egypt
Ethiopia,ETH,2002,0.6750891021708,Special Cases,Ethiopia
France,FRA,2002,1.92341228727063,Developed,France
Ghana,GHA,2002,9.36093239560313,Africa,Ghana
India,IND,2002,4.29715203929563,Emerging Markets,India
Japan,JPN,2002,-0.923494026942321,Special Cases,Japan
Kenya,KEN,2002,1.96130821739162,Africa,Kenya
"Korea, Rep.",KOR,2002,2.76226210296599,Emerging Markets,South Korea
Nigeria,NGA,2002,12.8765792031099,Africa,Nigeria
Pakistan,PAK,2002,3.29034472613153,Emerging Markets,Pakistan
Turkiye,TUR,2002,44.964120947985,Emerging Markets,Turkey
United States,USA,2002,1.58603162650601,Developed,USA
South Africa,ZAF,2002,9.494713780996,Africa,South Africa
Zimbabwe,ZWE,2002,,Special Cases,Zimbabwe
Brazil,BRA,2003,14.7149197228147,Emerging Markets,Brazil
Germany,DEU,2003,1.03422218628562,Developed,Germany
"Egypt, Arab Rep.",EGY,2003,4.50777636319303,Africa,Egypt
Ethiopia,ETH,2003,13.6740452028271,Special Cases,Ethiopia
France,FRA,2003,2.09847219146919,Developed,France
Ghana,GHA,2003,29.7729797160384,Africa,Ghana
India,IND,2003,3.80585899528851,Emerging Markets,India
Japan,JPN,2003,-0.256541816316025,Special Cases,Japan
Kenya,KEN,2003,9.81569062979654,Africa,Kenya
"Korea, Rep.",KOR,2003,3.51487451459939,Emerging Markets,South Korea
Nigeria,NGA,2003,14.0317836131437,Africa,Nigeria
Pakistan,PAK,2003,2.91413470059479,Emerging Markets,Pakistan
Turkiye,TUR,2003,21.6024384490573,Emerging Markets,Turkey
United States,USA,2003,2.27009497336115,Developed,USA
South Africa,ZAF,2003,5.67942414068799,Africa,South Africa
Zimbabwe,ZWE,2003,,Special Cases,Zimbabwe
Brazil,BRA,2004,6.59718509985963,Emerging Markets,Brazil
Germany,DEU,2004,1.66573696655991,Developed,Germany
"Egypt, Arab Rep.",EGY,2004,11.2706193320519,Africa,Egypt
Ethiopia,ETH,2004,3.32737047894847,Special Cases,Ethiopia
France,FRA,2004,2.14208964640238,Developed,France
Ghana,GHA,2004,18.0427388232565,Africa,Ghana
India,IND,2004,3.76725173477515,Emerging Markets,India
Japan,JPN,2004,-0.0085733882031027,Special Cases,Japan
Kenya,KEN,2004,11.6240355442426,Africa,Kenya
"Korea, Rep.",KOR,2004,3.59066298882578,Emerging Markets,South Korea
Nigeria,NGA,2004,14.9980338183251,Africa,Nigeria
Pakistan,PAK,2004,7.44462469342739,Emerging Markets,Pakistan
Turkiye,TUR,2004,8.59826168115262,Emerging Markets,Turkey
United States,USA,2004,2.67723669309172,Developed,USA
South Africa,ZAF,2004,-0.692039437857687,Africa,South Africa
Zimbabwe,ZWE,2004,,Special Cases,Zimbabwe
Brazil,BRA,2005,6.86953720898964,Emerging Markets,Brazil
Germany,DEU,2005,1.54691114751328,Developed,Germany
"Egypt, Arab Rep.",EGY,2005,4.86939696871988,Africa,Egypt
Ethiopia,ETH,2005,9.96997123512891,Special Cases,Ethiopia
France,FRA,2005,1.74586936380487,Developed,France
Ghana,GHA,2005,15.4389920155908,Africa,Ghana
India,IND,2005,4.24634362031922,Emerging Markets,India
Japan,JPN,2005,-0.282946068764391,Special Cases,Japan
Kenya,KEN,2005,10.3127783574683,Africa,Kenya
"Korea, Rep.",KOR,2005,2.75379162735039,Emerging Markets,South Korea
Nigeria,NGA,2005,17.8634933661605,Africa,Nigeria
Pakistan,PAK,2005,9.06332737030417,Emerging Markets,Pakistan
Turkiye,TUR,2005,8.17916036802008,Emerging Markets,Turkey
United States,USA,2005,3.3927468454955,Developed,USA
